iter	Logloss
0	0.5121384335
1	0.3968256898
2	0.3396745223
3	0.296757878
4	0.2711339016
5	0.2545861847
6	0.2438446187
7	0.2357050634
8	0.2290717837
9	0.2239082873
10	0.2208452416
11	0.2173041084
12	0.2155259671
13	0.2133438208
14	0.2116183022
15	0.2102679601
16	0.2089470374
17	0.2077519466
18	0.2069580858
19	0.2057335434
20	0.2048107158
21	0.203867545
22	0.2029428518
23	0.202489682
24	0.2018592376
25	0.2013762442
26	0.200905764
27	0.2003585288
28	0.2000538823
29	0.1996016995
30	0.1991847671
31	0.1988069737
32	0.1985708675
33	0.1981769989
34	0.1977273074
35	0.1973435092
36	0.1970055459
37	0.1967968938
38	0.1965441328
39	0.1962427627
40	0.1957349557
41	0.1954905309
42	0.1952037415
43	0.1945963599
44	0.1942783386
45	0.1940549585
46	0.1938941063
47	0.1936149798
48	0.1933761244
49	0.1931947321
50	0.1929576972
51	0.1926263621
52	0.1924220901
53	0.1922478386
54	0.1918220919
55	0.1915792183
56	0.1915344635
57	0.1913817147
58	0.1912294587
59	0.1910213954
60	0.1907354951
61	0.1905660911
62	0.1903512042
63	0.190095512
64	0.1900025248
65	0.1898078114
66	0.18958176
67	0.1894691378
68	0.1893614401
69	0.1891427802
70	0.1889582077
71	0.1888630051
72	0.1887810345
73	0.1884898749
74	0.1882556521
75	0.1879364909
76	0.1877589058
77	0.1875639395
78	0.1874066347
79	0.1871784776
80	0.1869661608
81	0.1866572992
82	0.1864146426
83	0.1862677365
84	0.1860537186
85	0.1857792673
86	0.1856147952
87	0.1853983756
88	0.185257033
89	0.1851096637
90	0.1850033442
91	0.1848486095
92	0.1847530157
93	0.1846039233
94	0.1844414212
95	0.1843204682
96	0.1841415121
97	0.1840677346
98	0.1839593292
99	0.1837158865
100	0.1836474881
101	0.1834898152
102	0.1832799773
103	0.1830740042
104	0.1829472891
105	0.182818242
106	0.182671064
107	0.1825219224
108	0.1823739925
109	0.1822244317
110	0.1821477017
111	0.1820336067
112	0.1819632938
113	0.1818849632
114	0.1817408465
115	0.1816074475
116	0.1814359073
117	0.1813458885
118	0.1812149425
119	0.1811294085
120	0.1810349237
121	0.1809996584
122	0.1808850601
123	0.1807809452
124	0.180626293
125	0.1805348523
126	0.1804579393
127	0.1803228183
128	0.1801540459
129	0.1799747433
130	0.1797706176
131	0.1796717848
132	0.1795010599
133	0.1793710872
134	0.1792968135
135	0.1792170532
136	0.1790734023
137	0.1788504229
138	0.1786593503
139	0.178518954
140	0.178361197
141	0.1781743259
142	0.178100736
143	0.1780375316
144	0.1779582635
145	0.1778538693
146	0.1777099638
147	0.1776128513
148	0.1774815965
149	0.1774104266
150	0.1772545515
151	0.1771047301
152	0.1770552328
153	0.1769145738
154	0.1768648986
155	0.1767170287
156	0.1766672971
157	0.1765830446
158	0.1764806014
159	0.1763788584
160	0.1762666109
161	0.1761709227
162	0.1760782343
163	0.1759257899
164	0.1758425423
165	0.1757922442
166	0.1757253352
167	0.1756445605
168	0.1756201902
169	0.1755580597
170	0.175493925
171	0.1753987873
172	0.1753075288
173	0.1751063155
174	0.1749145291
175	0.1748132719
176	0.1746741297
177	0.1745572611
178	0.1744621291
179	0.1743050632
180	0.1742643322
181	0.1741822617
182	0.1741774878
183	0.1741006501
184	0.1740308278
185	0.1738771135
186	0.1737976603
187	0.173721078
188	0.1736246832
189	0.1735049892
190	0.1734530424
191	0.1734464204
192	0.1733454705
193	0.1732415247
194	0.1732079844
195	0.1730699184
196	0.1729364871
197	0.1728624452
198	0.1727509698
199	0.1726441646
200	0.1725777488
201	0.1725052445
202	0.1723940198
203	0.1723049086
204	0.1721748481
205	0.1721045307
206	0.1719851136
207	0.1719568521
208	0.1718905206
209	0.1718475009
210	0.1717503138
211	0.1717003709
212	0.1716329716
213	0.1715694479
214	0.1714720842
215	0.1714014352
216	0.1713341966
217	0.1712977237
218	0.1711784409
219	0.171145653
220	0.1710963206
221	0.1710546501
222	0.1710171697
223	0.1709431656
224	0.1708501253
225	0.1708482099
226	0.1707091354
227	0.1706096458
228	0.170566144
229	0.1705386148
230	0.1704552119
231	0.1703446391
232	0.1702724045
233	0.1702132243
234	0.1702061769
235	0.1701344235
236	0.1700598052
237	0.1699804876
238	0.1698792217
239	0.16984016
240	0.1697831354
241	0.1697148732
242	0.1696396515
243	0.1695547303
244	0.1694729476
245	0.1693501062
246	0.1692819715
247	0.1692558625
248	0.1692373546
249	0.169207617
250	0.1691187123
251	0.1690223404
252	0.1689668993
253	0.1689584411
254	0.168903586
255	0.1687748916
256	0.1687402698
257	0.1686911945
258	0.1686268614
259	0.1685598249
260	0.1685196041
261	0.168443402
262	0.1683941446
263	0.1683277779
264	0.1682799108
265	0.1682500466
266	0.1681281413
267	0.1680713238
268	0.167995101
269	0.1678880536
270	0.1677965166
271	0.1677451419
272	0.1677009063
273	0.1675942632
274	0.1675746871
275	0.1675317841
276	0.1674152594
277	0.1673355309
278	0.1672607164
279	0.1671655212
280	0.1671158429
281	0.1670482875
282	0.1670013194
283	0.1669850738
284	0.1669018801
285	0.1668324113
286	0.1667117556
287	0.1666329227
288	0.1665495547
289	0.1664827972
290	0.1664781769
291	0.1664035233
292	0.166342343
293	0.1663414178
294	0.1662469162
295	0.1661921699
296	0.1661519515
297	0.1661337844
298	0.1660907091
299	0.1660148942
300	0.1659721954
301	0.1659064333
302	0.1658293435
303	0.1657358169
304	0.165687204
305	0.1656818939
306	0.1656362967
307	0.1655784448
308	0.1655036126
309	0.1654694518
310	0.1654204223
311	0.1653806093
312	0.1652932127
313	0.1652107067
314	0.1650990253
315	0.1650589134
316	0.1650194802
317	0.1649834014
318	0.1649281819
319	0.164852941
320	0.1648518718
321	0.1648121442
322	0.1647539809
323	0.1646841201
324	0.1646308381
325	0.1645142363
326	0.1644630003
327	0.1643880978
328	0.16432388
329	0.1641934228
330	0.1641546643
331	0.1640656176
332	0.164022824
333	0.1639977704
334	0.1639725889
335	0.1639148357
336	0.163882767
337	0.1638284086
338	0.1637971366
339	0.1637517073
340	0.1636952667
341	0.1636105263
342	0.1635777258
343	0.1635271189
344	0.1634640791
345	0.1633485319
346	0.1632778676
347	0.1632365558
348	0.1632002896
349	0.1631505964
350	0.1631140307
351	0.1630584154
352	0.1630441396
353	0.1629766041
354	0.1629405271
355	0.162888315
356	0.1627802309
357	0.1626549325
358	0.1625960652
359	0.1625111757
360	0.1624293025
361	0.1622754212
362	0.1622124641
363	0.1621303026
364	0.1621217672
365	0.1620410923
366	0.1619828779
367	0.1619233873
368	0.1618133685
369	0.1617821221
370	0.1617492574
371	0.1616441023
372	0.1615847483
373	0.1615628546
374	0.1615023129
375	0.161382198
376	0.1613169005
377	0.1612660884
378	0.1611885333
379	0.1611692543
380	0.1610950601
381	0.1610308081
382	0.1609032343
383	0.1608529899
384	0.1608106797
385	0.1607480708
386	0.160708252
387	0.1606545871
388	0.1605788417
389	0.1605052856
390	0.1604300614
391	0.1603082861
392	0.1602266459
393	0.1602009437
394	0.1601132468
395	0.1600688569
396	0.160023909
397	0.1599386887
398	0.1598444208
399	0.1597870833
400	0.1596816387
401	0.1596313973
402	0.1596019651
403	0.1595063112
404	0.1594490134
405	0.1594030191
406	0.1593342599
407	0.15933249
408	0.1593105877
409	0.1592234092
410	0.1591349695
411	0.159047433
412	0.1590117792
413	0.1589595994
414	0.1588998249
415	0.1588797282
416	0.1588614547
417	0.1587360801
418	0.1586986507
419	0.1586541399
420	0.1585587927
421	0.1585267323
422	0.1585231857
423	0.1584883835
424	0.1584025859
425	0.1583020527
426	0.1582480296
427	0.1582062146
428	0.158127693
429	0.1580880058
430	0.1580513463
431	0.1580234876
432	0.1579559026
433	0.1578741231
434	0.1578391512
435	0.1577501733
436	0.1576565213
437	0.1576368583
438	0.1576212494
439	0.1575449077
440	0.1574598842
441	0.1574128902
442	0.1573179197
443	0.15726212
444	0.1572292847
445	0.157206486
446	0.1571854135
447	0.1571414035
448	0.1570667704
449	0.1570650011
450	0.1570018359
451	0.1569154385
452	0.1568554763
453	0.1567823238
454	0.1567354644
455	0.1567134608
456	0.1566561153
457	0.1566081238
458	0.156539808
459	0.1564919392
460	0.156422219
461	0.1564029483
462	0.1563479908
463	0.1562824334
464	0.1562564038
465	0.1561765715
466	0.156105834
467	0.1560269311
468	0.1559907897
469	0.1559578604
470	0.1559013934
471	0.1558496694
472	0.1558255165
473	0.1557821822
474	0.1557265805
475	0.155653193
476	0.1555435667
477	0.1555276407
478	0.1555021011
479	0.1554433575
480	0.1553805729
481	0.1553587288
482	0.1553540027
483	0.1553415799
484	0.1553043444
485	0.1552654501
486	0.1552063706
487	0.1551681951
488	0.1551404382
489	0.1550531248
490	0.1550504816
491	0.154974071
492	0.1548722686
493	0.1547923784
494	0.1547390993
495	0.1546402777
496	0.1546225541
497	0.1545695119
498	0.1544160275
499	0.1543856847
500	0.1543104839
501	0.1542829925
502	0.1542488495
503	0.1542171045
504	0.154185364
505	0.154169216
506	0.154166859
507	0.1540736607
508	0.1540300671
509	0.1540128904
510	0.1539479597
511	0.1539362985
512	0.1538965847
513	0.1538390212
514	0.1537788049
515	0.1537161452
516	0.1536468464
517	0.1535958492
518	0.1535097159
519	0.1534735241
520	0.1534405373
521	0.1533954524
522	0.1533533091
523	0.153335345
524	0.1532547645
525	0.1531427861
526	0.1530668984
527	0.1530377089
528	0.1530165735
529	0.1529849168
530	0.1529165643
531	0.1528419833
532	0.1527769616
533	0.1526991991
534	0.1526619604
535	0.1526018361
536	0.1525344935
537	0.1524917345
538	0.1524215339
539	0.1523556472
540	0.1522806979
541	0.1521971139
542	0.1521199936
543	0.1520847674
544	0.1520528046
545	0.1519797382
546	0.151931013
547	0.1518712171
548	0.1518569764
549	0.1518194777
550	0.1517913885
551	0.1517509803
552	0.1516753114
553	0.1516581143
554	0.1516224073
555	0.1515735801
556	0.1515289082
557	0.1514499475
558	0.1514341565
559	0.1513370218
560	0.1513095253
561	0.151266698
562	0.1511858814
563	0.1511518025
564	0.1511158045
565	0.1510503347
566	0.151033454
567	0.1509812211
568	0.1509264259
569	0.1509051538
570	0.150846717
571	0.1508016357
572	0.1506915616
