iter	Passed	Remaining
0	136	683495
1	258	647238
2	374	624312
3	506	632378
4	657	657078
5	841	700382
6	980	699535
7	1106	690207
8	1241	688518
9	1368	682967
10	1501	681124
11	1636	680332
12	1778	682325
13	1899	676627
14	2030	674729
15	2161	673390
16	2272	666122
17	2408	666753
18	2537	665231
19	2650	659982
20	2753	652741
21	2867	648803
22	3001	649580
23	3161	655422
24	3291	654956
25	3428	655940
26	3554	654763
27	3670	651801
28	3808	652780
29	3924	650167
30	4044	648259
31	4170	647528
32	4295	646599
33	4450	650031
34	4603	653073
35	4739	653475
36	4902	657601
37	5029	656713
38	5157	656033
39	5289	655862
40	5427	656492
41	5542	654307
42	5664	652975
43	5783	651480
44	5918	651711
45	6042	650743
46	6157	648843
47	6269	646846
48	6389	645634
49	6506	644160
50	6632	643606
51	6745	641812
52	6871	641343
53	6984	639768
54	7119	640149
55	7239	639142
56	7336	636257
57	7474	636852
58	7584	635155
59	7714	635199
60	7841	634903
61	7951	633294
62	8067	632202
63	8187	631439
64	8342	633397
65	8456	632210
66	8587	632300
67	8728	633086
68	8896	635791
69	9061	638205
70	9179	637268
71	9316	637680
72	9422	635927
73	9527	634251
74	9634	632685
75	9756	632137
76	9881	631804
77	10029	632859
78	10168	633400
79	10314	634361
80	10445	634315
81	10567	633811
82	10694	633571
83	10853	635193
84	10977	634735
85	11106	634597
86	11229	634124
87	11333	632643
88	11459	632309
89	11583	631931
90	11699	631131
91	11818	630512
92	11973	631785
93	12093	631173
94	12226	631279
95	12384	632638
96	12515	632626
97	12657	633154
98	12778	632585
99	12919	633049
100	13029	631988
101	13162	632060
102	13290	631864
103	13429	632226
104	13557	632044
105	13704	632742
106	13838	632808
107	13956	632172
108	14100	632689
109	14257	633804
110	14391	633853
111	14521	633758
112	14655	633835
113	14811	634806
114	14942	634734
115	15055	633897
116	15180	633553
117	15299	633000
118	15432	633000
119	15568	633135
120	15714	633628
121	15843	633498
122	15971	633281
123	16089	632700
124	16238	633284
125	16354	632648
126	16509	633476
127	16653	633861
128	16779	633581
129	16890	632728
130	17026	632845
131	17163	632982
132	17291	632758
133	17417	632501
134	17553	632593
135	17672	632064
136	17793	631595
137	17916	631227
138	18050	631253
139	18181	631157
140	18296	630517
141	18418	630120
142	18560	630423
143	18718	631220
144	18839	630792
145	18948	629978
146	19055	629076
147	19179	628784
148	19304	628506
149	19413	627719
150	19538	627417
151	19669	627344
152	19816	627788
153	19957	628001
154	20082	627754
155	20211	627579
156	20343	627546
157	20463	627125
158	20580	626602
159	20704	626302
160	20815	625640
161	20946	625555
162	21066	625142
163	21184	624683
164	21299	624148
165	21422	623840
166	21549	623653
167	21693	623944
168	21790	622892
169	21915	622670
170	22066	623161
171	22204	623288
172	22331	623078
173	22446	622574
174	22570	622288
175	22694	622039
176	22824	621933
177	22986	622698
178	23110	622439
179	23220	621805
180	23334	621263
181	23446	620693
182	23567	620341
183	23688	620028
184	23822	620038
185	23960	620126
186	24072	619565
187	24194	619280
188	24309	618788
189	24432	618518
190	24575	618773
191	24709	618766
192	24825	618321
193	24929	617577
194	25029	616747
195	25169	616920
196	25304	616941
197	25434	616858
198	25544	616282
199	25651	615633
200	25775	615410
201	25895	615085
202	26000	614399
203	26109	613831
204	26220	613295
205	26338	612949
206	26447	612372
207	26555	611797
208	26679	611577
209	26799	611287
210	26931	611248
211	27075	611503
212	27190	611074
213	27338	611419
214	27471	611404
215	27606	611424
216	27755	611768
217	27873	611423
218	27983	610918
219	28090	610338
220	28223	610319
221	28349	610145
222	28536	611294
223	28670	611302
224	28790	611004
225	28954	611634
226	29086	611585
227	29236	611916
228	29352	611540
229	29495	611712
230	29643	611980
231	29746	611351
232	29844	610586
233	29964	610312
234	30108	610506
235	30211	609865
236	30319	609322
237	30460	609473
238	30570	608980
239	30711	609104
240	30856	609319
241	30995	609412
242	31129	609387
243	31263	609377
244	31393	609292
245	31522	609186
246	31643	608922
247	31776	608875
248	31886	608401
249	32003	608057
250	32103	607405
251	32227	607211
252	32333	606677
253	32429	605952
254	32563	605938
255	32689	605771
256	32821	605735
257	32946	605555
258	33070	605347
259	33192	605131
260	33310	604815
261	33440	604744
262	33588	604968
263	33723	604983
264	33849	604826
265	33981	604765
266	34130	605025
267	34240	604579
268	34375	604572
269	34499	604386
270	34599	603771
271	34724	603591
272	34869	603770
273	35004	603766
274	35180	604459
275	35290	604027
276	35422	603966
277	35552	603883
278	35690	603923
279	35810	603656
280	35933	603454
281	36061	603321
282	36186	603151
283	36314	603030
284	36424	602605
285	36552	602475
286	36670	602183
287	36800	602104
288	36929	601993
289	37064	601981
290	37236	602560
291	37369	602524
292	37497	602387
293	37659	602811
294	37803	602928
295	37923	602681
296	38048	602493
297	38178	602398
298	38292	602052
299	38419	601912
300	38549	601805
301	38672	601594
302	38803	601522
303	38939	601519
304	39069	601407
305	39189	601157
306	39318	601046
307	39454	601033
308	39569	600717
309	39756	601478
310	39877	601233
311	40029	601461
312	40156	601317
313	40280	601121
314	40387	600687
315	40514	600537
316	40607	599886
317	40751	599989
318	40871	599749
319	41011	599786
320	41203	600588
321	41341	600609
322	41472	600518
323	41588	600216
324	41694	599757
325	41827	599698
326	41931	599219
327	42051	598972
328	42164	598636
329	42302	598648
330	42432	598544
331	42542	598159
332	42651	597766
333	42755	597295
334	42873	597034
335	43003	596936
336	43147	597029
337	43258	596665
338	43389	596574
